Equtorial Upper 300m temperature Average anomaly based on 1981-2010 Climatology (deg C)
YR    MON   130E-80W   160E-80W   180W-100W 
1984    3     -.48      -.71       -.92
1984    4     -.42      -.63       -.77
1984    5     -.63      -.90      -1.11
1984    6     -.63      -.90      -1.15
1984    7     -.16      -.24       -.25
1984    8     -.12      -.21       -.22
1984    9     -.19      -.29       -.37
1984   10     -.56      -.75       -.93
1984   11     -.37      -.50       -.63
1984   12     -.21      -.31       -.35
1985    1      .02      -.09       -.16
1985    2     -.23      -.31       -.34
1985    3     -.34      -.50       -.65
1985    4     -.06      -.19       -.24
1985    5      .19       .07        .09
1985    6      .15       .03       -.02
1985    7      .06      -.03       -.08
1985    8      .18       .12        .24
1985    9      .07      -.07       -.20
1985   10     -.05      -.16       -.26
1985   11      .11       .05        .11
1985   12      .24       .16        .27
1986    1      .25       .19        .21
1986    2      .45       .42        .41
1986    3      .37       .34        .46
1986    4      .14       .01       -.02
1986    5      .42       .35        .31
1986    6      .53       .61        .80
1986    7      .44       .49        .45
1986    8      .30       .38        .50
1986    9      .45       .56        .65
1986   10      .60       .81        .95
1986   11      .38       .53        .52
1986   12      .59       .77        .97
1987    1      .54       .93       1.22
1987    2      .15       .37        .17
1987    3      .18       .49        .60
1987    4      .00       .26        .31
1987    5      .13       .42        .58
1987    6     -.09       .17        .37
1987    7     -.42      -.25       -.10
1987    8     -.28      -.05        .20
1987    9     -.47      -.29       -.25
1987   10     -.43      -.23       -.17
1987   11     -.51      -.40       -.37
1987   12     -.52      -.54       -.67
1988    1     -.47      -.46       -.45
1988    2     -.77      -.86       -.88
1988    3     -.94     -1.10      -1.31
1988    4    -1.10     -1.43      -1.76
1988    5    -1.00     -1.29      -1.55
1988    6     -.80     -1.08      -1.22
1988    7     -.52      -.73       -.87
1988    8     -.40      -.61       -.72
1988    9     -.59      -.88      -1.07
1988   10    -1.05     -1.52      -2.01
1988   11     -.99     -1.51      -2.04
1988   12     -.80     -1.31      -1.65
1989    1     -.34      -.72       -.89
1989    2      .17      -.12       -.11
1989    3      .52       .34        .42
1989    4      .55       .45        .50
1989    5      .62       .58        .61
1989    6      .70       .70        .87
1989    7      .63       .65        .78
1989    8      .37       .29        .35
1989    9      .36       .24        .26
1989   10      .11      -.06       -.02
1989   11      .04      -.12       -.22
1989   12      .46       .48        .64
1990    1      .63       .68        .78
1990    2      .86       .98       1.08
1990    3      .68       .88       1.14
1990    4      .37       .56        .65
1990    5      .10       .05        .05
1990    6     -.05      -.20       -.30
1990    7      .22       .16        .27
1990    8      .38       .37        .46
1990    9      .27       .32        .25
1990   10      .35       .40        .50
1990   11      .34       .28        .38
1990   12      .51       .61        .88
1991    1      .51       .64        .92
1991    2      .29       .35        .29
1991    3      .20       .24        .18
1991    4      .36       .47        .80
1991    5      .58       .71        .76
1991    6      .51       .68        .77
1991    7      .53       .64        .73
1991    8      .35       .43        .49
1991    9      .38       .54        .60
1991   10      .77      1.07       1.41
1991   11      .76      1.04       1.22
1991   12      .85      1.23       1.71
1992    1      .83      1.27       1.57
1992    2      .94      1.54       1.98
1992    3      .25       .70        .83
1992    4     -.19       .19        .38
1992    5     -.69      -.40       -.32
1992    6    -1.04      -.83       -.78
1992    7     -.89      -.72       -.73
1992    8     -.78      -.66       -.73
1992    9     -.68      -.54       -.56
1992   10     -.56      -.52       -.50
1992   11     -.42      -.35       -.27
1992   12     -.24      -.05        .19
1993    1     -.18       .07        .27
1993    2     -.05       .17        .28
1993    3      .08       .38        .56
1993    4      .23       .61        .81
1993    5      .00       .32        .42
1993    6     -.47      -.31       -.29
1993    7     -.66      -.50       -.40
1993    8     -.58      -.47       -.38
1993    9     -.29      -.12        .12
1993   10     -.23      -.07        .10
1993   11     -.24      -.15        .02
1993   12     -.36      -.36       -.33
1994    1     -.53      -.57       -.62
1994    2     -.53      -.64       -.60
1994    3     -.45      -.58       -.40
1994    4     -.22      -.35       -.14
1994    5      .04       .00        .16
1994    6      .04       .05        .14
1994    7      .03       .00        .02
1994    8      .28       .40        .67
1994    9      .31       .46        .70
1994   10      .50       .76       1.12
1994   11      .67       .91       1.16
1994   12      .39       .63        .80
1995    1      .09       .36        .51
1995    2     -.17       .04        .13
1995    3     -.47      -.47       -.44
1995    4     -.52      -.56       -.60
1995    5     -.46      -.50       -.44
1995    6     -.27      -.28       -.14
1995    7     -.23      -.34       -.44
1995    8     -.40      -.62       -.84
1995    9     -.53      -.85      -1.20
1995   10     -.46      -.77      -1.03
1995   11     -.44      -.74       -.86
1995   12     -.31      -.63       -.84
1996    1      .04      -.16       -.29
1996    2      .13      -.02       -.12
1996    3      .21       .09        .05
1996    4      .17      -.03        .01
1996    5      .12      -.07       -.16
1996    6      .14       .08        .17
1996    7      .00      -.15       -.18
1996    8      .04      -.18       -.35
1996    9     -.02      -.26       -.46
1996   10     -.07      -.24       -.30
1996   11     -.10      -.37       -.47
1996   12      .08      -.17       -.30
1997    1      .54       .49        .56
1997    2      .84       .85       1.00
1997    3     1.09      1.26       1.17
1997    4     1.49      1.87       2.17
1997    5     1.38      1.82       2.01
1997    6     1.55      2.01       2.25
1997    7     1.34      1.77       1.83
1997    8     1.07      1.50       1.79
1997    9     1.25      1.85       2.38
1997   10     1.35      2.05       2.56
1997   11     1.19      1.94       2.30
1997   12      .56      1.15       1.02
1998    1     -.24       .16        .00
1998    2     -.66      -.35       -.38
1998    3     -.76      -.51       -.61
1998    4    -1.08      -.91      -1.06
1998    5    -1.43     -1.42      -1.75
1998    6    -1.68     -1.79      -2.16
1998    7    -1.74     -1.94      -2.29
1998    8    -1.68     -1.97      -2.46
1998    9    -1.44     -1.76      -2.15
1998   10    -1.55     -1.95      -2.35
1998   11    -1.53     -1.96      -2.33
1998   12    -1.34     -1.71      -2.18
1999    1    -1.16     -1.52      -1.80
1999    2     -.93     -1.36      -1.61
1999    3     -.54      -.86       -.99
1999    4     -.42      -.75       -.91
1999    5     -.29      -.59       -.81
1999    6     -.15      -.40       -.52
1999    7     -.31      -.51       -.64
1999    8     -.56      -.87      -1.21
1999    9     -.52      -.92      -1.27
1999   10     -.50      -.88      -1.07
1999   11     -.72     -1.18      -1.48
1999   12     -.77     -1.23      -1.55
2000    1     -.50      -.96      -1.28
2000    2     -.26      -.69       -.91
2000    3     -.04      -.41       -.64
2000    4      .22      -.08       -.31
2000    5      .34       .04       -.18
2000    6      .34       .15        .08
2000    7      .25       .09        .03
2000    8      .14       .04        .00
2000    9      .08       .00       -.12
2000   10     -.11      -.30       -.37
2000   11     -.30      -.54       -.67
2000   12     -.36      -.72       -.96
2001    1     -.07      -.44       -.56
2001    2     -.04      -.41       -.63
2001    3      .22      -.03       -.29
2001    4      .42       .29        .26
2001    5      .27       .13        .11
2001    6      .33       .29        .46
2001    7      .43       .51        .61
2001    8      .09       .10        .12
2001    9      .22       .24        .35
2001   10      .17       .18        .28
2001   11      .18       .18        .22
2001   12      .22       .23        .17
2002    1      .49       .64        .95
2002    2      .51       .64        .78
2002    3      .45       .60        .55
2002    4      .23       .29        .32
2002    5      .10       .03        .07
2002    6      .43       .42        .67
2002    7      .53       .58        .73
2002    8      .70       .81       1.05
2002    9      .93      1.14       1.41
2002   10     1.04      1.40       1.72
2002   11      .78      1.23       1.58
2002   12      .26       .63        .74
2003    1     -.10       .13        .27
2003    2     -.34      -.27       -.11
2003    3     -.29      -.24       -.06
2003    4     -.44      -.51       -.49
2003    5     -.60      -.77       -.85
2003    6      .08       .03        .13
2003    7      .45       .44        .53
2003    8      .24       .20        .03
2003    9      .28       .16        .10
2003   10      .42       .33        .34
2003   11      .52       .53        .54
2003   12      .30       .25        .17
2004    1      .26       .18        .05
2004    2      .20       .16        .19
2004    3      .01      -.05       -.10
2004    4      .20       .19        .21
2004    5      .17       .16        .30
2004    6      .22       .14        .04
2004    7      .53       .62        .83
2004    8      .56       .61        .78
2004    9      .62       .70        .87
2004   10      .54       .56        .61
2004   11      .53       .58        .78
2004   12      .59       .64        .79
2005    1      .40       .42        .52
2005    2      .29       .42        .59
2005    3      .49       .72       1.27
2005    4      .24       .36        .49
2005    5      .06       .01        .00
2005    6      .10       .04        .11
2005    7      .01      -.08       -.20
2005    8     -.05      -.17       -.42
2005    9     -.02      -.16       -.33
2005   10      .01      -.11       -.14
2005   11     -.21      -.44       -.57
2005   12     -.28      -.57       -.74
2006    1     -.28      -.67       -.97
2006    2     -.19      -.56       -.92
2006    3      .09      -.22       -.29
2006    4      .46       .25        .42
2006    5      .64       .49        .54
2006    6      .76       .71        .76
2006    7      .69       .74        .73
2006    8      .80       .91       1.05
2006    9      .85      1.01       1.13
2006   10      .65       .77        .80
2006   11      .74      1.00       1.35
2006   12      .51       .68        .86
2007    1     -.18      -.20       -.46
2007    2     -.48      -.58       -.77
2007    3     -.47      -.62       -.72
2007    4     -.29      -.51       -.59
2007    5     -.23      -.49       -.58
2007    6     -.04      -.22       -.18
2007    7     -.10      -.32       -.48
2007    8     -.16      -.42       -.68
2007    9     -.35      -.69      -1.03
2007   10     -.52      -.87      -1.19
2007   11     -.54      -.97      -1.19
2007   12     -.49      -.87      -1.08
2008    1     -.50     -1.05      -1.50
2008    2     -.30      -.82      -1.20
2008    3      .21      -.26       -.45
2008    4      .48       .09        .02
2008    5      .60       .33        .17
2008    6      .65       .56        .38
2008    7      .50       .47        .42
2008    8      .17       .03       -.15
2008    9     -.12      -.40       -.69
2008   10     -.11      -.34       -.48
2008   11     -.37      -.65       -.77
2008   12     -.65     -1.08      -1.44
2009    1     -.32      -.77      -1.08
2009    2      .00      -.37       -.50
2009    3      .24       .00        .08
2009    4      .59       .52        .65
2009    5      .79       .77        .87
2009    6     1.01      1.07       1.13
2009    7      .93      1.04       1.05
2009    8      .72       .79        .79
2009    9      .64       .72        .76
2009   10      .70       .86       1.04
2009   11     1.00      1.31       1.75
2009   12      .96      1.28       1.36
2010    1      .66       .94       1.14
2010    2      .60       .93       1.24
2010    3      .41       .65        .97
2010    4     -.06      -.01       -.06
2010    5     -.66      -.83      -1.00
2010    6     -.83     -1.12      -1.34
2010    7     -.80     -1.14      -1.36
2010    8     -.88     -1.33      -1.74
2010    9     -.92     -1.45      -1.93
2010   10     -.89     -1.47      -1.92
2010   11     -.76     -1.31      -1.64
2010   12     -.67     -1.24      -1.56
2011    1     -.35      -.92      -1.27
2011    2      .30      -.11       -.22
2011    3      .72       .50        .50
2011    4      .89       .72        .58
2011    5      .74       .64        .47
2011    6      .52       .46        .39
2011    7      .25       .20        .06
2011    8     -.07      -.22       -.54
2011    9     -.37      -.64      -1.01
2011   10     -.51      -.87      -1.26
2011   11     -.36      -.71       -.92
2011   12     -.40      -.81      -1.07
2012    1     -.28      -.79      -1.17
2012    2      .16      -.26       -.46
2012    3      .40       .06        .00
2012    4      .67       .51        .27
2012    5      .67       .58        .47
2012    6      .71       .66        .56
2012    7      .73       .76        .82
2012    8      .69       .74        .83
2012    9      .40       .44        .36
2012   10      .31       .38        .40
2012   11      .15       .22        .34
2012   12     -.11      -.17       -.27
2013    1     -.24      -.47       -.59
2013    2     -.05      -.23       -.17
2013    3      .13      -.04        .06
2013    4     0.18     -0.02      -0.06
2013    5     0.15     -0.09      -0.14
2013    6     0.31      0.16       0.26
2013    7     0.34      0.28       0.41
2013    8     0.30      0.25       0.32
2013    9     0.40      0.29       0.38
2013   10     0.37      0.26       0.15
2013   11     0.45      0.48       0.62
2013   12     0.33      0.26       0.26
2014    1     0.18      0.00      -0.33
2014    2     0.43      0.42       0.39
2014    3     0.93      1.21       1.60
2014    4     1.00      1.27       1.41
2014    5     0.74      1.00       0.95
2014    6     0.31      0.39       0.27
2014    7     0.05      0.02      -0.18
2014    8     0.36      0.37       0.39
2014    9     0.55      0.58       0.64
2014   10     0.51      0.51       0.53
2014   11     0.62      0.68       0.90
2014   12     0.50      0.48       0.54
2015    1     0.28      0.22       0.15
2015    2     0.54      0.65       0.83
2015    3     0.85      1.17       1.52
2015    4     1.05      1.42       1.74
2015    5     1.03      1.42       1.53
2015    6     0.87      1.27       1.51
2015    7     0.92      1.36       1.69
2015    8     0.99      1.43       1.97
2015    9     1.04      1.48       1.80
2015   10     1.04      1.51       1.91
2015   11     0.92      1.41       1.78
2015   12     0.58      1.04       1.20
2016    1     0.44      0.88       1.25
2016    2    -0.04      0.31       0.56
2016    3    -0.52     -0.33      -0.31
2016    4    -0.92     -0.85      -0.88
2016    5    -1.03     -1.08      -1.15
2016    6    -0.86     -0.97      -1.05
2016    7    -0.63     -0.68      -0.76
2016    8    -0.50     -0.56      -0.71
2016    9    -0.48     -0.55      -0.71
2016   10    -0.59     -0.75      -0.92
2016   11    -0.35     -0.53      -0.62
2016   12    -0.06     -0.18      -0.24
2017    1     0.18      0.07       0.01
2017    2     0.36      0.31       0.15
